IP Name,Easting/X (m),Northing/Y (m),,station,code,station distance
IP.1,696048.2929,9304493.769,,Lebakbulus,LBB,329.481
IP.2,696482.7628,9304482.197,,Fatmawati,FTW,2346.652
IP.3,696698.3158,9304514.969,,Cipeteraya,CPR,4157.833
IP.4,696944.4622,9304337.589,,Haji Nawi,HJN,5456.333
IP.4A,697156.8744,9304267.315,,Blok A,BLA,6672.378
IP.5,697386.7467,9304201.975,,Blok M,BLM,7842.993
IP.6,697587.3221,9304135.206,,ASEAN,ASN,8570.32
IP.7,698016.9582,9304127.504,,Senayan,SNY,10088.951
IP.8,698156.6926,9304129.801,,Istora,IST,10903.112
IP.9,698581.4759,9304122.465,,Bendunganhilir,BNH,12218.189
IP.10,698617.5587,9304478.689,,Setiabudi,SET,13001.462
IP.11,698612.9601,9304622.126,,Dukuh Atas,DKA,13917.431
IP.12,698667.4489,9304865.732,,Bundaran HI,BHI,14983.077
IP.13,698695.8408,9305274.7,,,,
IP.14,698738.792,9305430.142,,,,
IP.15,698801.7721,9305562.786,,,,
IP.16,698881.3909,9305849.264,,,,
IP.17,698874.6548,9306271.464,,,,
IP.18,698832.7799,9306831.722,,,,
IP.19,698846.7733,9307071.274,,,,
IP.20,698842.4395,9307322.969,,,,
IP.21,698755.8979,9307504.59,,,,
IP.22,698806.1815,9308020.592,,,,
IP.23,698842.8768,9308376.783,,,,
IP.24,698867.3909,9308871.568,,,,
IP.25,698910.8486,9309164.034,,,,
IP.26,698926.6735,9309329.551,,,,
IP.27,698927.6456,9309577.407,,,,
IP.28,698971.9333,9309697.438,,,,
IP.29a,698974.9174,9310904.932,,,,
IP.29b,699105.3438,9311159.405,,,,
IP.30a,699641.3044,9311563.151,,,,
IP.30b,699828.3563,9311704.223,,,,
IP.30c,699948.4089,9311778.24,,,,
IP.31,700127.6216,9311887.843,,,,
IP.32,700303.9005,9312031.446,,,,
IP.33,701287.4479,9312803.768,,,,
IP.34,701578.9169,9313381.059,,,,
IP.35,701627.5808,9313978.021,,,,
IP.36,701686.7889,9314326.82,,,,
IP.37,701716.3245,9314475.36,,,,
IP.38,701697.3665,9315383.488,,,,
